ReturnID,OrderID,ReturnDate,Reason,RefundAmount
RET-1001,ORD-13551,2023-05-11,Not as Described,810.0
RET-1002,ORD-11033,2023-11-19,Not as Described,1377.0
RET-1003,ORD-12395,2024-02-24,Wrong Item,1093.5
RET-1004,ORD-12463,2023-03-05,Defective,3078.0
RET-1005,ORD-14077,2023-03-04,Not as Described,10260.0
RET-1006,ORD-10486,2023-01-16,Not as Described,230.85
RET-1007,ORD-12120,2023-06-17,Wrong Item,9720.0
RET-1008,ORD-14612,2024-05-29,Not as Described,148.5
RET-1009,ORD-14495,2024-01-30,Wrong Item,10692.0
RET-1010,ORD-13395,2023-09-19,Wrong Item,4050.0
RET-1011,ORD-13851,2023-07-25,Not as Described,936.0
RET-1012,ORD-10674,2023-09-17,Defective,3078.0
RET-1013,ORD-10942,2023-06-14,Not as Described,4061.25
RET-1014,ORD-10129,2022-12-31,Wrong Item,1530.0
RET-1015,ORD-10963,2024-04-16,Wrong Item,1728.0
RET-1016,ORD-14114,2024-03-17,Wrong Item,81.0
RET-1017,ORD-13795,2023-01-02,Not as Described,286.88
RET-1018,ORD-13820,2023-06-05,Wrong Item,2430.0
RET-1019,ORD-10113,2024-04-14,Not as Described,43.74
RET-1020,ORD-11892,2023-01-10,Defective,149.18
RET-1021,ORD-11985,2023-07-23,Wrong Item,486.0
RET-1022,ORD-11287,2024-04-29,Not as Described,31104.0
RET-1023,ORD-12674,2023-11-07,Wrong Item,17280.0
RET-1024,ORD-10386,2022-05-22,Defective,27540.0
RET-1025,ORD-12337,2022-06-11,Defective,10260.0
RET-1026,ORD-12407,2022-07-16,Changed Mind,16245.0
RET-1027,ORD-11837,2022-10-30,Defective,14580.0
RET-1028,ORD-10239,2023-01-23,Changed Mind,8721.0
RET-1029,ORD-13798,2024-06-10,Defective,1927.8
RET-1030,ORD-12002,2022-10-01,Changed Mind,1683.0
RET-1031,ORD-11103,2024-05-25,Wrong Item,540.0
RET-1032,ORD-12523,2022-07-20,Not as Described,283.5
RET-1033,ORD-13082,2023-09-21,Not as Described,468.0
RET-1034,ORD-13467,2024-02-08,Not as Described,4860.0
RET-1035,ORD-14343,2023-02-17,Not as Described,8464.5
RET-1036,ORD-14640,2022-11-01,Changed Mind,7182.0
RET-1037,ORD-13956,2023-08-02,Changed Mind,2430.0
RET-1038,ORD-12101,2022-08-01,Not as Described,718.2
RET-1039,ORD-14922,2024-05-29,Not as Described,38988.0
RET-1040,ORD-10491,2022-08-20,Changed Mind,2754.0
RET-1041,ORD-11752,2022-12-08,Wrong Item,1134.0
RET-1042,ORD-10468,2024-06-05,Not as Described,157.5
RET-1043,ORD-12137,2023-05-05,Not as Described,5400.0
RET-1044,ORD-11865,2022-05-12,Defective,421.2
RET-1045,ORD-14206,2024-05-16,Changed Mind,225.0
RET-1046,ORD-10829,2022-11-06,Changed Mind,4608.0
RET-1047,ORD-13802,2022-09-25,Wrong Item,2436.75
RET-1048,ORD-13624,2023-01-18,Not as Described,7290.0
RET-1049,ORD-14873,2024-03-31,Changed Mind,4320.0
RET-1050,ORD-14098,2022-06-26,Changed Mind,7560.0
RET-1051,ORD-14833,2024-03-16,Not as Described,259.2
RET-1052,ORD-14698,2022-10-27,Wrong Item,2160.0
RET-1053,ORD-11170,2024-06-28,Changed Mind,972.0
RET-1054,ORD-12140,2024-04-06,Wrong Item,17496.0
RET-1055,ORD-13310,2024-07-03,Not as Described,344.25
RET-1056,ORD-14700,2023-02-26,Not as Described,2565.0
RET-1057,ORD-11318,2023-04-05,Changed Mind,576.0
RET-1058,ORD-12324,2022-05-03,Defective,1350.0
RET-1059,ORD-13827,2022-09-10,Defective,72.0
RET-1060,ORD-10183,2023-07-17,Not as Described,220.32
RET-1061,ORD-12315,2024-04-25,Changed Mind,1458.0
RET-1062,ORD-14321,2022-07-25,Not as Described,2700.0
RET-1063,ORD-10993,2022-01-17,Not as Described,1026.0
RET-1064,ORD-10863,2022-11-25,Wrong Item,5400.0
RET-1065,ORD-11570,2024-03-22,Changed Mind,972.0
RET-1066,ORD-10485,2022-11-06,Defective,160.65
RET-1067,ORD-10764,2022-11-17,Changed Mind,432.0
RET-1068,ORD-14192,2023-03-10,Wrong Item,189.0
RET-1069,ORD-13490,2022-10-10,Not as Described,6480.0
RET-1070,ORD-12363,2022-08-13,Defective,643.5
RET-1071,ORD-12008,2022-09-27,Wrong Item,10260.0
RET-1072,ORD-11114,2022-04-09,Wrong Item,22680.0
RET-1073,ORD-12028,2022-01-22,Defective,535.5
RET-1074,ORD-10686,2023-01-25,Changed Mind,7695.0
RET-1075,ORD-12166,2022-06-28,Wrong Item,8910.0
RET-1076,ORD-12927,2023-10-01,Changed Mind,1944.0
RET-1077,ORD-13105,2022-04-05,Defective,259.2
RET-1078,ORD-13045,2022-12-01,Wrong Item,3240.0
RET-1079,ORD-10794,2024-01-14,Defective,1080.0
RET-1080,ORD-14179,2024-03-06,Wrong Item,684.0
RET-1081,ORD-11022,2024-07-07,Not as Described,8100.0
RET-1082,ORD-11361,2022-06-01,Not as Described,10935.0
RET-1083,ORD-13799,2024-03-01,Wrong Item,567.0
RET-1084,ORD-13009,2022-08-07,Not as Described,36.0
RET-1085,ORD-14872,2024-02-23,Wrong Item,324.0
RET-1086,ORD-10661,2022-06-27,Defective,576.0
RET-1087,ORD-13889,2022-05-05,Changed Mind,4104.0
RET-1088,ORD-10466,2023-09-12,Not as Described,16524.0
RET-1089,ORD-10177,2022-05-15,Changed Mind,550.8
RET-1090,ORD-12014,2023-08-18,Not as Described,3240.0
RET-1091,ORD-12222,2022-09-08,Not as Described,2624.4
RET-1092,ORD-11983,2024-06-09,Not as Described,307.8
RET-1093,ORD-13771,2023-12-21,Not as Described,692.55
RET-1094,ORD-12219,2024-02-25,Changed Mind,135.0
RET-1095,ORD-11621,2022-05-25,Defective,6885.0
RET-1096,ORD-11267,2024-04-01,Changed Mind,15120.0
RET-1097,ORD-12901,2023-02-20,Wrong Item,972.0
RET-1098,ORD-13124,2023-02-01,Defective,619.65
RET-1099,ORD-13843,2024-02-26,Not as Described,8775.0
RET-1100,ORD-12425,2023-12-24,Wrong Item,2478.6
RET-1101,ORD-10233,2022-06-18,Defective,3780.0
RET-1102,ORD-12709,2023-08-24,Wrong Item,769.5
RET-1103,ORD-11721,2022-07-10,Wrong Item,337.5
RET-1104,ORD-13113,2024-03-16,Not as Described,8950.5
RET-1105,ORD-11132,2023-09-26,Wrong Item,51.3
RET-1106,ORD-12583,2023-04-16,Wrong Item,11016.0
RET-1107,ORD-10749,2023-12-23,Wrong Item,202.5
RET-1108,ORD-11269,2023-02-26,Changed Mind,5832.0
RET-1109,ORD-11684,2024-02-11,Changed Mind,1800.0
RET-1110,ORD-11012,2023-11-29,Not as Described,2462.4
RET-1111,ORD-10599,2024-01-24,Defective,24624.0
RET-1112,ORD-12758,2022-07-04,Not as Described,648.0
RET-1113,ORD-12113,2024-02-24,Not as Described,6561.0
RET-1114,ORD-10895,2022-06-18,Changed Mind,15120.0
RET-1115,ORD-10545,2023-07-18,Not as Described,273.6
RET-1116,ORD-10931,2024-01-19,Defective,526.5
RET-1117,ORD-14849,2023-11-24,Changed Mind,10125.0
RET-1118,ORD-10222,2024-07-02,Defective,270.0
RET-1119,ORD-11127,2022-05-17,Defective,972.0
RET-1120,ORD-10228,2022-12-16,Defective,9180.0
RET-1121,ORD-13107,2024-04-30,Wrong Item,10800.0
RET-1122,ORD-10095,2023-11-06,Wrong Item,269.32
RET-1123,ORD-14005,2023-03-27,Changed Mind,153.9
RET-1124,ORD-10840,2022-10-04,Not as Described,30780.0
RET-1125,ORD-12031,2022-10-18,Not as Described,4320.0
RET-1126,ORD-13294,2022-12-17,Not as Described,1458.0
RET-1127,ORD-14777,2023-09-10,Wrong Item,9720.0
RET-1128,ORD-11671,2022-10-04,Changed Mind,2754.0
RET-1129,ORD-10433,2023-10-02,Changed Mind,643.5
RET-1130,ORD-10271,2022-10-06,Not as Described,4050.0
RET-1131,ORD-12954,2024-04-27,Wrong Item,3420.0
RET-1132,ORD-11054,2023-07-17,Wrong Item,13770.0
RET-1133,ORD-11447,2023-11-17,Not as Described,90.0
RET-1134,ORD-10618,2022-01-22,Wrong Item,7425.0
RET-1135,ORD-12534,2023-03-16,Changed Mind,283.5
RET-1136,ORD-12170,2022-06-22,Wrong Item,1620.0
RET-1137,ORD-11344,2023-12-30,Changed Mind,3078.0
RET-1138,ORD-13473,2023-09-27,Wrong Item,10901.25
RET-1139,ORD-13586,2023-03-12,Changed Mind,180.0
RET-1140,ORD-12995,2022-02-20,Wrong Item,4050.0
RET-1141,ORD-11640,2023-02-16,Not as Described,12825.0
RET-1142,ORD-14592,2023-05-14,Defective,3110.4
RET-1143,ORD-12176,2023-09-26,Wrong Item,8100.0
RET-1144,ORD-11115,2022-08-05,Defective,720.0
RET-1145,ORD-12589,2022-06-03,Changed Mind,14620.5
RET-1146,ORD-13477,2023-09-17,Wrong Item,567.0
RET-1147,ORD-10983,2022-01-29,Not as Described,6156.0
RET-1148,ORD-11014,2023-09-30,Not as Described,2025.0
RET-1149,ORD-13354,2024-05-06,Changed Mind,2592.0
RET-1150,ORD-10891,2023-06-08,Changed Mind,1231.2
