Year,Month,Region,Category,RevenueTarget
2022,1,North,Electronics,44924
2022,1,North,Furniture,67903
2022,1,North,Office Supplies,50001
2022,1,North,Clothing,72154
2022,1,North,Software,112759
2022,1,South,Electronics,102703
2022,1,South,Furniture,112982
2022,1,South,Office Supplies,68409
2022,1,South,Clothing,45191
2022,1,South,Software,82065
2022,1,East,Electronics,91552
2022,1,East,Furniture,109516
2022,1,East,Office Supplies,57380
2022,1,East,Clothing,107580
2022,1,East,Software,102579
2022,1,West,Electronics,89009
2022,1,West,Furniture,70427
2022,1,West,Office Supplies,70857
2022,1,West,Clothing,83178
2022,1,West,Software,83448
2022,1,Central,Electronics,63322
2022,1,Central,Furniture,95512
2022,1,Central,Office Supplies,62500
2022,1,Central,Clothing,46981
2022,1,Central,Software,57793
2022,2,North,Electronics,118410
2022,2,North,Furniture,76276
2022,2,North,Office Supplies,111940
2022,2,North,Clothing,104351
2022,2,North,Software,73237
2022,2,South,Electronics,102921
2022,2,South,Furniture,106083
2022,2,South,Office Supplies,56238
2022,2,South,Clothing,54907
2022,2,South,Software,64418
2022,2,East,Electronics,113207
2022,2,East,Furniture,60662
2022,2,East,Office Supplies,92852
2022,2,East,Clothing,117449
2022,2,East,Software,117232
2022,2,West,Electronics,65816
2022,2,West,Furniture,78061
2022,2,West,Office Supplies,88285
2022,2,West,Clothing,56019
2022,2,West,Software,99252
2022,2,Central,Electronics,70245
2022,2,Central,Furniture,114787
2022,2,Central,Office Supplies,61653
2022,2,Central,Clothing,56716
2022,2,Central,Software,58015
2022,3,North,Electronics,115891
2022,3,North,Furniture,68970
2022,3,North,Office Supplies,50840
2022,3,North,Clothing,97736
2022,3,North,Software,100304
2022,3,South,Electronics,106936
2022,3,South,Furniture,96557
2022,3,South,Office Supplies,83993
2022,3,South,Clothing,41058
2022,3,South,Software,72020
2022,3,East,Electronics,114404
2022,3,East,Furniture,76294
2022,3,East,Office Supplies,97590
2022,3,East,Clothing,88958
2022,3,East,Software,47271
2022,3,West,Electronics,81453
2022,3,West,Furniture,82684
2022,3,West,Office Supplies,103223
2022,3,West,Clothing,104873
2022,3,West,Software,103244
2022,3,Central,Electronics,113733
2022,3,Central,Furniture,50338
2022,3,Central,Office Supplies,100120
2022,3,Central,Clothing,79407
2022,3,Central,Software,66717
2022,4,North,Electronics,49720
2022,4,North,Furniture,56454
2022,4,North,Office Supplies,79487
2022,4,North,Clothing,67745
2022,4,North,Software,79558
2022,4,South,Electronics,81846
2022,4,South,Furniture,67052
2022,4,South,Office Supplies,85841
2022,4,South,Clothing,72458
2022,4,South,Software,105916
2022,4,East,Electronics,50025
2022,4,East,Furniture,49005
2022,4,East,Office Supplies,83309
2022,4,East,Clothing,104874
2022,4,East,Software,86100
2022,4,West,Electronics,44149
2022,4,West,Furniture,117019
2022,4,West,Office Supplies,58444
2022,4,West,Clothing,100218
2022,4,West,Software,60699
2022,4,Central,Electronics,46575
2022,4,Central,Furniture,75608
2022,4,Central,Office Supplies,107576
2022,4,Central,Clothing,44540
2022,4,Central,Software,64654
2022,5,North,Electronics,89877
2022,5,North,Furniture,117532
2022,5,North,Office Supplies,88910
2022,5,North,Clothing,99075
2022,5,North,Software,86181
2022,5,South,Electronics,94749
2022,5,South,Furniture,64438
2022,5,South,Office Supplies,73630
2022,5,South,Clothing,65831
2022,5,South,Software,66144
2022,5,East,Electronics,115578
2022,5,East,Furniture,53162
